Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Endocytic Recycling (GO:0032456),1/64,0.2413608228065245,0.3061253493630335,0,0,3.707002801120448,5.269364635462472,RAB14
GO_Biological_Process_2023,Proteasomal Protein Catabolic Process (GO:0010498),2/220,0.2442185820507294,0.3078745909796063,0,0,2.1511577107907383,3.032469012455102,MTA1;DDI2
GO_Biological_Process_2023,Positive Regulation Of T Cell Proliferation (GO:0042102),1/65,0.2446334388349638,0.3078745909796063,0,0,3.6488970588235294,5.137626467495332,PPP3CA
GO_Biological_Process_2023,Fatty Acid Biosynthetic Process (GO:0006633),1/65,0.2446334388349638,0.3078745909796063,0,0,3.6488970588235294,5.137626467495332,ACACA
GO_Biological_Process_2023,Monocarboxylic Acid Biosynthetic Process (GO:0072330),1/65,0.2446334388349638,0.3078745909796063,0,0,3.6488970588235294,5.137626467495332,ACACA
GO_Biological_Process_2023,Regulation Of Cell-Matrix Adhesion (GO:0001952),1/65,0.2446334388349638,0.3078745909796063,0,0,3.6488970588235294,5.137626467495332,TLN1
GO_Biological_Process_2023,Positive Regulation Of Cell Motility (GO:2000147),2/221,0.245809885494533,0.3088770276770562,0,0,2.141226353555121,3.0045621066164303,SPAG9;PPP3CA
GO_Biological_Process_2023,Regulation Of Endocytosis (GO:0030100),1/66,0.2478921009370132,0.3105335563355805,0,0,3.592579185520362,5.010791867835437,TSC2
GO_Biological_Process_2023,Cellular Response To BMP Stimulus (GO:0071773),1/66,0.2478921009370132,0.3105335563355805,0,0,3.592579185520362,5.010791867835437,MAPK3
Reactome_2022,RHOB GTPase Cycle R-HSA-9013026,1/69,0.2575849502210434,0.3109465383742518,0,0,3.4335640138408303,4.657305832354093,ARHGAP5
Reactome_2022,Transcription Of HIV Genome R-HSA-167172,1/69,0.2575849502210434,0.3109465383742518,0,0,3.4335640138408303,4.657305832354093,GTF2F1
GO_Biological_Process_2023,Peptidyl-Tyrosine Phosphorylation (GO:0018108),1/67,0.2511368678628957,0.3136317566398375,0,0,3.537967914438503,4.888612632693461,MAPK3
GO_Biological_Process_2023,Negative Regulation Of Cellular Catabolic Process (GO:0031330),1/67,0.2511368678628957,0.3136317566398375,0,0,3.537967914438503,4.888612632693461,RPTOR
GO_Cellular_Component_2023,Adherens Junction (GO:0005912),2/150,0.1362084763198626,0.3141134249825404,0,0,3.17985842985843,6.339266086244256,MYO1E;TLN1
GO_Biological_Process_2023,Cell-Cell Junction Organization (GO:0045216),1/68,0.2543677981624342,0.3162095105597232,0,0,3.4849868305531166,4.770856483616748,TLN1
GO_Biological_Process_2023,B Cell Differentiation (GO:0030183),1/68,0.2543677981624342,0.3162095105597232,0,0,3.4849868305531166,4.770856483616748,IRF2BP2
GO_Biological_Process_2023,Skin Development (GO:0043588),1/68,0.2543677981624342,0.3162095105597232,0,0,3.4849868305531166,4.770856483616748,PPP3CA
GO_Biological_Process_2023,Chromatin Remodeling (GO:0006338),2/228,0.2569596317529225,0.3189437871986657,0,0,2.0741677201854194,2.8184543517220715,MTA1;CHEK1
GO_Biological_Process_2023,Response To Molecule Of Bacterial Origin (GO:0002237),1/69,0.2575849502210434,0.3192325678806528,0,0,3.4335640138408303,4.657305832354093,RPS6KA3
GO_Biological_Process_2023,Positive Regulation Of Protein Polymerization (GO:0032273),1/70,0.260788382019869,0.3227107375679657,0,0,3.3836317135549874,4.547756661251317,VASP
KEGG_2021_Human,Alzheimer disease,3/369,0.211962725061949,0.3229908191420176,0,0,1.9304760023701364,2.9948339945740257,PPP3CA;PPP3CB;MAPK3
GO_Biological_Process_2023,Negative Regulation Of Intracellular Signal Transduction (GO:1902532),2/231,0.2617420306668764,0.3233985880428123,0,0,2.0466833021418176,2.7433658577689415,RPS6KA1;TSC2
GO_Biological_Process_2023,Cell-Cell Junction Assembly (GO:0007043),1/71,0.2639781514229198,0.3241906904937066,0,0,3.335126050420168,4.442017496799639,TLN1
GO_Biological_Process_2023,Kidney Development (GO:0001822),1/71,0.2639781514229198,0.3241906904937066,0,0,3.335126050420168,4.442017496799639,OXSR1
GO_Biological_Process_2023,Lipid Biosynthetic Process (GO:0008610),1/71,0.2639781514229198,0.3241906904937066,0,0,3.335126050420168,4.442017496799639,ACACA
GO_Biological_Process_2023,Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:0010569),1/71,0.2639781514229198,0.3241906904937066,0,0,3.335126050420168,4.442017496799639,CHEK1
Reactome_2022,RHOC GTPase Cycle R-HSA-9013106,1/73,0.270316933121591,0.3246554514844554,0,0,3.242156862745098,4.241260511650994,ARHGAP5
Reactome_2022,Extra-nuclear Estrogen Signaling R-HSA-9009391,1/73,0.270316933121591,0.3246554514844554,0,0,3.242156862745098,4.241260511650994,MAPK3
GO_Biological_Process_2023,Positive Regulation Of Developmental Process (GO:0051094),2/233,0.2649309877994998,0.3248701253106988,0,0,2.028756957328386,2.694769281862864,RPS6KA3;RPS6KA1
GO_Biological_Process_2023,Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),1/72,0.2671543160230924,0.3251443995909792,0,0,3.287986743993372,4.3399084793012666,JUN
GO_Biological_Process_2023,Response To Ionizing Radiation (GO:0010212),1/72,0.2671543160230924,0.3251443995909792,0,0,3.287986743993372,4.3399084793012666,MTA1
GO_Biological_Process_2023,Cholesterol Homeostasis (GO:0042632),1/72,0.2671543160230924,0.3251443995909792,0,0,3.287986743993372,4.3399084793012666,LIMA1
GO_Biological_Process_2023,Cellular Response To Hypoxia (GO:0071456),1/72,0.2671543160230924,0.3251443995909792,0,0,3.287986743993372,4.3399084793012666,RPTOR
GO_Biological_Process_2023,Translation (GO:0006412),2/234,0.2665255830463911,0.3251443995909792,0,0,2.0199096880131364,2.6708963698054915,EEF1B2;RPS6
KEGG_2021_Human,Epstein-Barr virus infection,2/202,0.2156901596901284,0.325570052362458,0,0,2.346904761904762,3.5999461914704916,JUN;NFKB2
KEGG_2021_Human,Legionellosis,1/57,0.2180568084643899,0.3260662556476859,0,0,4.171848739495799,6.353724215387732,NFKB2
Reactome_2022,Chromatin Modifying Enzymes R-HSA-3247509,2/238,0.2729040514765518,0.3269307418703869,0,0,1.985270379338176,2.5781416097257774,MTA1;NFKB2
GO_Biological_Process_2023,Sterol Homeostasis (GO:0055092),1/73,0.270316933121591,0.3270352181962106,0,0,3.242156862745098,4.241260511650994,LIMA1
GO_Biological_Process_2023,Cellular Response To Decreased Oxygen Levels (GO:0036294),1/73,0.270316933121591,0.3270352181962106,0,0,3.242156862745098,4.241260511650994,RPTOR
GO_Biological_Process_2023,DNA Replication (GO:0006260),1/73,0.270316933121591,0.3270352181962106,0,0,3.242156862745098,4.241260511650994,CHEK1
GO_Biological_Process_2023,Positive Regulation Of Secretion By Cell (GO:1903532),1/73,0.270316933121591,0.3270352181962106,0,0,3.242156862745098,4.241260511650994,DTNBP1
KEGG_2021_Human,Endometrial cancer,1/58,0.2214287694166872,0.3280426213580552,0,0,4.098452012383901,6.179048898114302,MAPK3
Reactome_2022,Sensory Processing Of Sound R-HSA-9659379,1/75,0.2766017531435907,0.3296869380903404,0,0,3.1542130365659777,4.053720538658391,MYO1E
Reactome_2022,Nuclear Envelope (NE) Reassembly R-HSA-2995410,1/75,0.2766017531435907,0.3296869380903404,0,0,3.1542130365659777,4.053720538658391,EMD
GO_Cellular_Component_2023,Early Endosome (GO:0005769),3/307,0.1459558767328918,0.3298602814163354,0,0,2.331563094483196,4.486978735473301,GGA2;RAB14;MAPK3
GO_Biological_Process_2023,Regulation Of DNA Replication (GO:0006275),1/75,0.2766017531435907,0.333645734874984,0,0,3.1542130365659777,4.053720538658391,PDS5A
GO_Biological_Process_2023,Regulation Of Stress Fiber Assembly (GO:0051492),1/75,0.2766017531435907,0.333645734874984,0,0,3.1542130365659777,4.053720538658391,ARAP1
KEGG_2021_Human,Long-term depression,1/60,0.228129634375795,0.3348691880745615,0,0,3.9591226321036888,5.850954699068187,MAPK3
