Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
The_Kinase_Library_2024,RIPK1,18/821,1.0033022453237756e-08,3.10187610845934e-08,0,0,6.299868141528093,116.0270903280185,SRRM2;PPP1R12A;AHNAK;XRCC5;RPS6;NOP2;DDX20;TSC2;ADD3;GPATCH8;NFKB2;RPTOR;SH3PXD2A;PALLD;KIF4A;CHEK1;TPR;CEP170
The_Kinase_Library_2024,YANK3,18/823,1.0417442617514188e-08,3.1941084389237714e-08,0,0,6.283558640847644,115.49045220965134,SRRM2;PPP1R12A;FKBP15;RPS6;BOD1L1;NOP2;DDX20;TSC2;IRF2BP2;ADD3;RPTOR;FYCO1;MYO1E;SH3PXD2A;PALLD;KIF4A;CEP170;EIF4B
The_Kinase_Library_2024,CAMK2D,17/727,1.0694199207534193e-08,3.2520884475370375e-08,0,0,6.663972239232496,122.3076434701144,SRRM2;XRCC6;FKBP15;AHNAK;BOD1L1;NOP2;LSP1;CDC25C;DOK1;MYO1E;PEX5L;PALLD;RPS6KA1;XIRP1;CEP170;EIF4B;REPS1
The_Kinase_Library_2024,TAO2,19/931,1.1602340631914562e-08,3.4995677840978075e-08,0,0,5.9085820895522385,107.96196043186956,SRRM2;JUN;XRCC6;PPP1R12A;AHNAK;BOD1L1;NOP2;CDC25C;ADD3;NFKB2;MYO1E;SH3PXD2A;MAP7D3;MICAL1;CEP170;CIC;TLN1;EIF4B;REPS1
The_Kinase_Library_2024,SGK1,18/830,1.1872506321584586e-08,3.55217729460313e-08,0,0,6.227108084613156,113.63874765297156,SRRM2;VASP;PPP1R12A;FKBP15;AHNAK;RPS6;BOD1L1;NOP2;DDX20;TSC2;IRF2BP2;GTF2F1;RPTOR;MYO1E;KIF4A;CEP170;CIC;EMD
The_Kinase_Library_2024,DAPK1,18/834,1.2785926717085334e-08,3.7351014268020944e-08,0,0,6.195285467128028,112.59882236460892,SRRM2;VASP;PPP1R12A;FKBP15;RPS6;BOD1L1;IRF2BP2;SSH1;RPTOR;LIMA1;MYO1E;SH3PXD2A;MAP7D3;MICAL1;KIF4A;CEP170;CIC;EIF4B
The_Kinase_Library_2024,IRAK1,18/834,1.2785926717085334e-08,3.7351014268020944e-08,0,0,6.195285467128028,112.59882236460892,SRRM2;RANBP2;SPAG9;XRCC6;XRCC5;TSC2;ARAP1;CDC25C;GPATCH8;NFKB2;RPS6KA3;DOK1;LIMA1;KIF4A;RPS6KA1;CEP170;UBAP2L;REPS1
The_Kinase_Library_2024,KHS1,18/834,1.2785926717085334e-08,3.7351014268020944e-08,0,0,6.195285467128028,112.59882236460892,SRRM2;RANBP2;SPAG9;JUN;AHNAK;NOP2;RGPD8;GPATCH8;NFKB2;MYO1E;SH3PXD2A;MAP7D3;TBC1D5;MICAL1;CEP170;TLN1;AGFG1;REPS1
The_Kinase_Library_2024,MEKK3,18/836,1.3266545394055832e-08,3.84522526655837e-08,0,0,6.1794908672515465,112.08373113076344,SRRM2;JUN;PPP1R12A;FKBP15;AHNAK;XRCC5;BOD1L1;TSC2;SSH1;LIMA1;PACS1;MICAL1;KIF4A;CEP170;TLN1;EIF4B;AGFG1;REPS1
KEA_2015,CDK1,15/494,2.7416505146809753e-09,4.07330933609745e-08,0,0,8.571995648210768,168.99437164001506,SRRM2;RANBP2;JUND;AHNAK;RGPD8;CDC25C;RPTOR;RPS6KA3;RPS6KB1;PALLD;NUP50;CHEK1;TPR;UBAP2L;CIC
The_Kinase_Library_2024,ROCK2,18/844,1.5360444528295246e-08,4.417616217052353e-08,0,0,6.117077339410341,110.0552144734758,SRRM2;SPAG9;VASP;PPP1R12A;FKBP15;AHNAK;RPS6;BOD1L1;NOP2;IRF2BP2;GPATCH8;RPTOR;MYO1E;PACS1;KIF4A;CHEK1;CEP170;CIC
The_Kinase_Library_2024,CDC7,17/746,1.563382519877969e-08,4.4300764523052055e-08,0,0,6.483867119937973,116.53991879499708,SRRM2;PPP1R12A;AHNAK;BOD1L1;DTNBP1;LSP1;PDS5A;GPATCH8;NFKB2;SSH1;SH3PXD2A;RAB14;RPS6KA1;CEP170;CIC;TLN1;REPS1
The_Kinase_Library_2024,CAMK1A,18/845,1.56425880121828e-08,4.4300764523052055e-08,0,0,6.109360551959599,109.80517842872574,SRRM2;PPP1R12A;FKBP15;BOD1L1;NOP2;DDX20;IRF2BP2;GPATCH8;SSH1;RPTOR;MYO1E;SH3PXD2A;MAP7D3;KIF4A;CHEK1;CEP170;TLN1;REPS1
The_Kinase_Library_2024,MEKK1,18/849,1.68196095425743e-08,4.727329651738685e-08,0,0,6.078679125079635,108.81273539838917,SRRM2;RANBP2;FKBP15;AHNAK;XRCC5;SSH1;LIMA1;MYO1E;MAP7D3;RPS6KB1;TBC1D5;MICAL1;TPR;CEP170;TLN1;EIF4B;AGFG1;REPS1
PPI_Hub_Proteins,MAPK3,13/326,1.3509077637195555e-09,4.91172472823411e-08,0,0,11.1520416648431,227.75244881771428,SRRM2;JUN;JUND;TSC2;NUP153;CDC25C;RPTOR;RPS6KA3;RPS6KB1;NUP50;RPS6KA1;CIC;MAPK3
PPI_Hub_Proteins,MAPK14,16/552,1.4827848236178443e-09,4.91172472823411e-08,0,0,8.263539445628998,167.99233505327066,SRRM2;RANBP2;SPAG9;JUN;JUND;NUP153;CDC25C;GTF2F1;SSH1;RPTOR;RPS6KA3;MTA1;RPS6KB1;PACS1;RPS6KA1;MAPK3
The_Kinase_Library_2024,NUAK2,18/854,1.8405602758595298e-08,5.134194453713424e-08,0,0,6.040740219532789,107.58927251637436,SRRM2;RANBP2;PPP1R12A;BOD1L1;NOP2;DDX20;TSC2;RGPD8;LSP1;ADD3;SSH1;RPTOR;GGA2;RPS6KA3;SH3PXD2A;PALLD;XIRP1;CEP170
The_Kinase_Library_2024,SRPK2,16/663,1.985650744954728e-08,5.4975852714791346e-08,0,0,6.806623978803268,120.71366605826556,SRRM2;FKBP15;ICE1;AHNAK;YTHDC1;RPS6;BOD1L1;NOP2;TSC2;IRF2BP2;ADD3;MYO1E;PALLD;TPR;CEP170;EMD
The_Kinase_Library_2024,YANK2,18/862,2.123217891026632e-08,5.834917315339855e-08,0,0,5.980972957903541,105.67032261401648,SRRM2;NEK9;SPAG7;XRCC6;PPP1R12A;FKBP15;XRCC5;NOP2;TSC2;IRF2BP2;LSP1;ARAP1;OXSR1;ADD3;RPTOR;KIF4A;CEP170;EIF4B
The_Kinase_Library_2024,MRCKB,18/874,2.6228357990823543e-08,7.123282950118116e-08,0,0,5.893416712479384,102.87798474565096,SRRM2;VASP;PPP1R12A;AHNAK;YTHDC1;RPS6;BOD1L1;NOP2;IRF2BP2;GPATCH8;RPTOR;MYO1E;PACS1;KIF4A;TPR;CEP170;CIC;EMD
The_Kinase_Library_2024,MARK1,17/773,2.6304306311756928e-08,7.123282950118116e-08,0,0,6.243501265240396,108.97115644901956,SRRM2;RANBP2;SPAG9;PPP1R12A;XRCC5;BOD1L1;NOP2;NUP153;LSP1;CDC25C;SSH1;RPTOR;XIRP1;CEP170;CIC;TLN1;REPS1
The_Kinase_Library_2024,MARK3,17/776,2.7832450716436423e-08,7.482492185360808e-08,0,0,6.217849573237097,108.17232202508168,SRRM2;RANBP2;SPAG9;PPP1R12A;AHNAK;XRCC5;BOD1L1;NOP2;LSP1;CDC25C;SSH1;RPTOR;XIRP1;CEP170;CIC;TLN1;REPS1
The_Kinase_Library_2024,ROCK1,18/878,2.8120662402064003e-08,7.505586871342262e-08,0,0,5.864774281805746,101.96943001188346,SRRM2;SPAG9;VASP;PPP1R12A;FKBP15;AHNAK;YTHDC1;RPS6;BOD1L1;NOP2;IRF2BP2;GPATCH8;RPTOR;MYO1E;PACS1;KIF4A;CEP170;CIC
The_Kinase_Library_2024,MST2,17/783,3.172028581263402e-08,8.350767376156437e-08,0,0,6.15877700836266,106.33934953511984,SRRM2;JUN;FKBP15;AHNAK;NOP2;NUP153;LIMA1;MAP7D3;TBC1D5;MICAL1;KIF4A;TPR;CEP170;TLN1;EIF4B;AGFG1;REPS1
The_Kinase_Library_2024,PKG2,18/885,3.173741779078322e-08,8.350767376156437e-08,0,0,5.815285975982088,100.40538712277824,SRRM2;VASP;NEK9;PPP1R12A;TBC1D9B;FKBP15;AHNAK;RPS6;BOD1L1;NOP2;DDX20;IRF2BP2;GPATCH8;RPTOR;MYO1E;SH3PXD2A;KIF4A;TPR
The_Kinase_Library_2024,PDK1,18/889,3.3991658200220054e-08,8.88091914949411e-08,0,0,5.787364084554603,99.52617225699956,SRRM2;VASP;XRCC6;PPP1R12A;AHNAK;BOD1L1;DDX20;TSC2;OXSR1;GTF2F1;ADD3;RPS6KA3;SH3PXD2A;RPS6KB1;PACS1;KIF4A;RPS6KA1;CEP170
The_Kinase_Library_2024,MNK2,18/890,3.4577782890279515e-08,8.970879337268322e-08,0,0,5.780423637344846,99.30799297309429,SRRM2;SPAG9;PPP1R12A;RPS6;NOP2;DDX20;IRF2BP2;ADD3;GPATCH8;RPTOR;SH3PXD2A;MAP7D3;MICAL1;KIF4A;TPR;CEP170;CIC;TLN1
The_Kinase_Library_2024,LRRK2,18/891,3.5173195144217735e-08,9.06198291562832e-08,0,0,5.7734990903577925,99.09045834375496,SRRM2;RANBP2;PPP1R12A;AHNAK;TSC2;RGPD8;CDC25C;GTF2F1;NFKB2;RPTOR;PALLD;TBC1D5;MICAL1;CHEK1;CEP170;TLN1;EIF4B;REPS1
The_Kinase_Library_2024,DMPK1,18/894,3.7016504310327375e-08,9.47111937871135e-08,0,0,5.752820306204674,98.44169708084908,SRRM2;SPAG9;VASP;PPP1R12A;FKBP15;RPS6;BOD1L1;NOP2;GTF2F1;GPATCH8;RPTOR;MYO1E;PACS1;TBC1D5;KIF4A;CHEK1;CEP170;CIC
The_Kinase_Library_2024,MOS,16/694,3.745655956841665e-08,9.518070958823685e-08,0,0,6.4849557522123895,110.89328801452632,SRRM2;RANBP2;SPAG9;BOD1L1;DTNBP1;LSP1;ARAP1;GPATCH8;NFKB2;LIMA1;SH3PXD2A;MAP7D3;CEP170;TLN1;PAM;EIF4B
The_Kinase_Library_2024,MSK1,17/794,3.884666280627159e-08,9.804157755868545e-08,0,0,6.068099155055677,103.54388169528892,SRRM2;PPP1R12A;FKBP15;RPS6;BOD1L1;DDX20;IRF2BP2;GPATCH8;RPTOR;MYO1E;SH3PXD2A;MAP7D3;TBC1D5;MICAL1;CEP170;CIC;REPS1
The_Kinase_Library_2024,PAK1,17/795,3.95623972308344e-08,9.917330657188893e-08,0,0,6.059982862039417,103.29475148903256,SRRM2;PPP1R12A;AHNAK;YTHDC1;RPS6;NOP2;TSC2;IRF2BP2;GPATCH8;RPTOR;MYO1E;SH3PXD2A;MAP7D3;TBC1D5;MICAL1;KIF4A;CIC
